Číslo	Doplňek	Skupina	Popis	Efekt	Země	Rok	Typ	Mount	Accuracy	AP	Damage	RC	Conceal	Avail	Cost
1	Úsťová brzda	Muzzle	Úsťová brzda tlumící zdvih hlavně.	+1 RC.	—	1900	Reálná	Barrel	-	-	-	1	-	6R	200
2	Kompenzátor	Muzzle	Kompenzátor plynu pro kontrolu palby.	+1 RC.	—	1930	Reálná	Barrel	-	-	-	1	-	6R	250
3	Tlumič plamene	Muzzle	Kryt potlačující záblesk výstřelu.	Potlačuje záblesk: -2 na odhalení střelby zrakem.	—	1915	Reálná	Barrel	-	-	-	-	-	4R	100
4	Tlumič	Muzzle	Zvukový tlumič.	Ztiší výstřel: -4 na odhalení střelby sluchem.	—	1930	Prototyp	Barrel	-	-	-	-	-	9F	700
5	Dlouhá hlaveň	Muzzle	Delší, přesnější hlaveň.	+1 Acc, ale +1 Conceal (hůř skrytá).	—	1900	Reálná	Barrel	1	-	-	-	+1	8R	300
6	Zkrácená hlaveň	Muzzle	Zkrácená hlaveň pro skrytí.	-1 DMG, -1 Conceal (lépe skrytá).	—	1900	Reálná	Barrel	-	-	-1	-	-1	4R	20
7	Zátěž hlavně	Muzzle	Přídavná hmota na hlavni.	+1 RC.	—	1900	Reálná	Barrel	-	-	-	1	-	3R	100
8	Bajonetové lůžko	Muzzle	Úchyt pro nasazení bodáku.	Umožňuje nasadit bajonet.	—	1915	Reálná	Barrel	-	-	-	-	-	2	50
9	Mechanická mířidla	Optika	Základní otevřená mířidla.	Základní mířidla (bez bonusu).	—	1900	Reálná	Top	-	-	-	-	-	1	20
10	Dioptrická mířidla	Optika	Kruhová (dioptrická) mířidla.	+1 Acc.	—	1910	Reálná	Top	1	-	-	-	-	4R	100
11	Puškohled 2×	Optika	Malý optický puškohled.	+1 Acc na střední a delší vzdálenost.	—	1930	Reálná	Top	1	-	-	-	-	5R	150
12	Puškohled 4×	Optika	Výkonnější optický puškohled.	+2 Acc na delší vzdálenost.	—	1930	Reálná	Top	2	-	-	-	-	6R	300
13	Puškohled ZF39	Optika	Německý vojenský puškohled.	+2 Acc; kvalitní optika.	DE	1939	Prototyp	Top	2	-	-	-	-	7R	400
