ID	Typ	Číslo	Název	Kategorie	Technické informace	Popis	Země	Rok	Historický status	Role	Poškození	AP	Režim palby	RC	Munice / kapacita	Conceal	Accuracy	Reach	Dostupnost	Cena	Dovednost	Výchozí vybavení	Rating	Kapacita zbroje	ArmorOverride	Handling	Speed	Acceleration	Body	Armor	Sensor	Seats	Pilot	Mount	Efekt / vlastnost	Bonus	Poznámka	Zdrojový soubor	Zdrojový řádek
Doplněk ke zbrani:28:Svítilna	Doplněk ke zbrani	28	Svítilna	Bočnice		Baterka připevněná ke zbrani.	—	1900	Reálná		-	-		-		-	-		2	50														Side	Osvětluje cíl; ruší postih za tmu v kuželu.			docs/accessories/batchAC1_doplnky.tsv	29
Doplněk ke zbrani:29:Řemen	Doplněk ke zbrani	29	Řemen	Bočnice		Nosný řemen.	—	1900	Reálná		-	-		-		-	-		0	15														Side	Umožňuje nosit zbraň přes rameno bez postihu.			docs/accessories/batchAC1_doplnky.tsv	30
Doplněk ke zbrani:30:Lapač nábojnic	Doplněk ke zbrani	30	Lapač nábojnic	Bočnice		Záchyt vystřelených nábojnic.	—	1930	Prototyp		-	-		-		-	-		3R	60														Side	Zachytí nábojnice: -2 na forenzní sledování.			docs/accessories/batchAC1_doplnky.tsv	31
Doplněk ke zbrani:57:Infračervená svítilna	Doplněk ke zbrani	57	Infračervená svítilna	Bočnice		Experimentální IR svítilna.	DE	1938	Setting		-	-		-		-	-		10F	800														Side	Osvětluje pro IR vidění (viditelné jen IR přístroji).			docs/accessories/batchAC1_doplnky.tsv	58
Doplněk ke zbrani:58:Signální zrcátko	Doplněk ke zbrani	58	Signální zrcátko	Bočnice		Zrcátko pro signalizaci.	—	1900	Reálná		-	-		-		-	-		2	20														Side	Signální komunikace na dálku (zrcadlem).			docs/accessories/batchAC1_doplnky.tsv	59
Doplněk ke zbrani:59:Boční zásobník	Doplněk ke zbrani	59	Boční zásobník	Bočnice		Zásobník uchycený na boku.	—	1930	Reálná		-	-		-		-	-		6R	150														Side	Umožňuje rychlejší výměnu munice.			docs/accessories/batchAC1_doplnky.tsv	60
Doplněk ke zbrani:1:Úsťová brzda	Doplněk ke zbrani	1	Úsťová brzda	Muzzle		Úsťová brzda tlumící zdvih hlavně.	—	1900	Reálná		-	-		1		-	-		6R	200														Barrel	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	2
Doplněk ke zbrani:2:Kompenzátor	Doplněk ke zbrani	2	Kompenzátor	Muzzle		Kompenzátor plynu pro kontrolu palby.	—	1930	Reálná		-	-		1		-	-		6R	250														Barrel	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	3
Doplněk ke zbrani:3:Tlumič plamene	Doplněk ke zbrani	3	Tlumič plamene	Muzzle		Kryt potlačující záblesk výstřelu.	—	1915	Reálná		-	-		-		-	-		4R	100														Barrel	Potlačuje záblesk: -2 na odhalení střelby zrakem.			docs/accessories/batchAC1_doplnky.tsv	4
Doplněk ke zbrani:4:Tlumič	Doplněk ke zbrani	4	Tlumič	Muzzle		Zvukový tlumič.	—	1930	Prototyp		-	-		-		-	-		9F	700														Barrel	Ztiší výstřel: -4 na odhalení střelby sluchem.			docs/accessories/batchAC1_doplnky.tsv	5
Doplněk ke zbrani:43:Chladicí plášť	Doplněk ke zbrani	43	Chladicí plášť	Muzzle		Vodní/vzduchový plášť hlavně.	—	1915	Reálná		-	-		-		-	-		6R	300														Barrel	Brání přehřátí hlavně u kulometů (delší palba).			docs/accessories/batchAC1_doplnky.tsv	44
