Číslo	Vozidlo	SW1938 kategorie	Popis	Země	Rok	Typ	Role	Handling	Speed	Accel	Body	Armor	Sensor	Seats	Pilot	Avail	Cost	Poznámka
1	BMW R12	SW1938 – Motocykly	Civilní těžký motocykl.	DE	1935	Reálná	Civilní motocykl	4/3	3	2	5	3	1	1	1	4R	4000	Běžný civilní motocykl.
2	DKW RT 125	SW1938 – Motocykly	Lehký lidový motocykl.	DE	1939	Reálná	Lehký motocykl	5/4	3	3	4	2	1	1	1	3R	2500	Lehký a obratný; levný.
3	Harley-Davidson WLA	SW1938 – Motocykly	Vojenský motocykl.	US	1940	Prototyp	Vojenský motocykl	4/3	4	2	6	4	1	1	1	5R	5500	Robustní vojenský stroj.
4	Zündapp KS 750	SW1938 – Motocykly	Těžký vojenský motocykl s pohonem zadního kola.	DE	1941	Prototyp	Těžký vojenský motocykl	4/3	3	2	6	3	1	2	1	5R	6000	Pohon zadního kola; tažný.
5	Zündapp s postranním vozíkem	SW1938 – Motocykly	Motocykl s postranním vozíkem.	DE	1941	Prototyp	Motocykl s vozíkem	3/2	3	1	7	4	1	3	1	6R	8000	Veze 3 osoby; stabilní.
6	Motocykl s kulometem	SW1938 – Motocykly	Motocykl s lafetovaným kulometem ve vozíku.	DE	1941	Prototyp	Ozbrojený motocykl	3/2	3	1	7	5	1	2	1	8F	12000	Kulomet ve vozíku; vojenský.
7	Kettenkrad (Sd.Kfz 2)	SW1938 – Motocykly	Polopásý motocykl pro těžký terén.	DE	1941	Prototyp	Polopásý motocykl	4/3	3	2	7	4	1	2	1	8R	10000	Pásy vzadu; výborný v terénu.
8	Goliath	SW1938 – Motocykly	Dálkově řízené pásové vozidlo s náloží.	DE	1942	Prototyp	Dálkově řízená nálož	3	2	1	3	4	0	0	0	12F	5000	Bezpilotní nálož; velmi vzácný.
9	Opel Olympia	SW1938 – Osobní auta	Civilní rodinný sedan.	DE	1935	Reálná	Civilní sedan	4/4	3	2	10	3	1	4	1	3R	6000	Běžné civilní auto.
10	Mercedes-Benz 770	SW1938 – Osobní auta	Luxusní reprezentativní limuzína.	DE	1930	Reálná	Luxusní limuzína	4/4	3	2	12	4	2	5	1	6R	25000	Reprezentativní; pancéřovaná verze.
11	Kübelwagen	SW1938 – Osobní auta	Vojenský terénní vůz.	DE	1940	Prototyp	Vojenský terénní vůz	4/3	3	2	9	3	1	4	1	5R	5000	Lehký terénní; vojenský.
12	Willys MB	SW1938 – Osobní auta	Legendární americký džíp.	US	1941	Prototyp	Terénní džíp	5/4	3	3	10	4	1	4	1	5R	7000	Obratný a spolehlivý.
13	Horch 108	SW1938 – Osobní auta	Těžký štábní terénní vůz.	DE	1938	Reálná	Štábní vůz	4/3	3	2	11	4	2	5	1	6R	12000	Pro štáb a důstojníky.
14	Tatra 87	SW1938 – Osobní auta	Aerodynamická československá limuzína.	CS	1937	Reálná	Rychlá limuzína	5/4	4	3	10	3	1	4	1	5R	15000	Rychlá a elegantní; česká.
15	KdF-Wagen	SW1938 – Osobní auta	Lidový vůz (budoucí Volkswagen).	DE	1938	Prototyp	Lidový vůz	4/3	3	2	9	3	1	4	1	6R	4000	Lidový vůz; prototyp.
16	Policejní auto	SW1938 – Osobní auta	Policejní hlídkový vůz.	—	1938	Reálná	Policejní vůz	4/4	3	2	10	4	2	4	1	4R	8000	Hlídkový vůz; siréna.
17	Ambulance	SW1938 – Osobní auta	Polní sanitní vůz.	—	1938	Reálná	Sanitní vůz	3/3	2	1	12	3	1	6	1	5R	9000	Převoz raněných.
18	Citroën P17	SW1938 – Osobní auta	Polopásý terénní vůz.	FR	1937	Prototyp	Polopásý vůz	3/2	3	1	11	4	1	4	1	7R	10000	Polopásý; experimentální.
19	Opel Blitz	SW1938 – Nákladní auta	Standardní nákladní auto.	DE	1937	Reálná	Nákladní auto	3/3	2	1	15	4	1	3	1	5R	12000	Základní logistika.
20	GAZ-AAA	SW1938 – Nákladní auta	Sovětské nákladní auto.	SU	1936	Reálná	Nákladní auto	3/2	2	1	14	3	1	3	1	5R	9000	Robustní; jednoduché.
21	Sd.Kfz 251	SW1938 – Nákladní auta	Polopásý obrněný transportér.	DE	1939	Prototyp	Obrněný transportér	3/3	3	2	16	8	2	10	1	8F	25000	Veze družstvo; pancéřovaný.
22	Sd.Kfz 7	SW1938 – Nákladní auta	Polopásý dělostřelecký tahač.	DE	1938	Reálná	Dělostřelecký tahač	3/2	3	1	16	5	1	8	1	8R	20000	Tahá děla; silný.
23	Lanz Bulldog	SW1938 – Nákladní auta	Těžký zemědělský traktor.	DE	1921	Reálná	Traktor	2/2	1	1	15	3	1	2	1	4R	10000	Pomalý, ale silný.
24	Cisternový vůz	SW1938 – Nákladní auta	Nákladní cisterna na palivo.	—	1938	Reálná	Palivová cisterna	3/3	2	1	16	4	1	2	1	6R	15000	Převoz paliva; výbušný náklad.
25	Muniční vůz	SW1938 – Nákladní auta	Nákladní vůz s municí.	—	1938	Reálná	Muniční vůz	3/3	2	1	15	5	1	2	1	7R	14000	Převoz munice.
26	Pontonový vůz	SW1938 – Nákladní auta	Vůz pro převoz pontonů a mostů.	—	1938	Reálná	Ženijní vůz	3/2	2	1	17	4	1	4	1	8R	18000	Stavba mostů; ženijní.
27	Panzer II	SW1938 – Obrněná vozidla	Lehký tank.	DE	1936	Reálná	Lehký tank	3/2	3	2	18	12	2	3	1	12F	80000	Lehký a rychlý; slabší pancíř.
28	Panzer IV	SW1938 – Obrněná vozidla	Střední tank.	DE	1939	Prototyp	Střední tank	3/2	3	2	22	16	3	5	1	14F	150000	Univerzální střední tank.
29	T-26	SW1938 – Obrněná vozidla	Sovětský lehký tank.	SU	1931	Reálná	Lehký tank	3/2	3	2	18	10	2	3	1	12F	70000	Početný sovětský tank.
30	Matilda II	SW1938 – Obrněná vozidla	Britský pěchotní tank s tlustým pancířem.	UK	1939	Prototyp	Pěchotní tank	2/2	2	1	20	18	2	4	1	14F	130000	Velmi silný pancíř; pomalý.
31	Char B1	SW1938 – Obrněná vozidla	Francouzský těžký tank.	FR	1936	Reálná	Těžký tank	2/2	2	1	21	17	2	4	1	14F	140000	Silný pancíř; pomalý.
32	T-34	SW1938 – Obrněná vozidla	Revoluční sovětský střední tank.	SU	1940	Prototyp	Střední tank	3/3	4	3	24	18	3	4	1	16F	180000	Šikmý pancíř; převratný.
33	Tiger I	SW1938 – Obrněná vozidla	Německý těžký tank.	DE	1942	Prototyp	Těžký tank	3/2	3	2	26	22	3	5	1	18F	350000	Legendární pancíř a dělo; pomalý.
34	Sd.Kfz 231	SW1938 – Obrněná vozidla	Těžké obrněné průzkumné vozidlo.	DE	1932	Reálná	Obrněné auto	4/3	4	3	16	10	2	4	1	12F	60000	Rychlé; osmikolové.
35	Flakpanzer	SW1938 – Obrněná vozidla	Samohybný protiletadlový kanón.	DE	1941	Prototyp	Protiletadlový vůz	3/3	3	2	20	12	3	4	1	14F	120000	Proti letadlům.
