Číslo	Zbraň	SR5 kategorie	Technické informace	Popis	Země	Rok	Typ	Role	DMG	AP	Mode	RC	Ammo	Conceal	Accuracy	Reach	Avail	Cost	Useskill	Defaultní vybavení	Poznámka
19	MP 40	Submachine Guns	9×19 mm, 32 ran	Typický německý samopal WWII.	DE	1938	Reálná	Univerzální standard	7P	0	SA/BF/FA	1	32(c)	2	4		8R	1400	Automatics	sklopná pažba	Vyvážený, dobře dostupný; sklopná pažba (RC 1).
20	MP 34	Submachine Guns	9×19 mm, 32 ran	Kvalitně zpracovaný rakouský samopal.	AT	1934	Reálná	Precizní	7P	0	SA/BF/FA	1	32(c)	2	5		9R	1500	Automatics	-	Nejlepší přesnost za nízkou cenu; jinak průměrný.
21	MP 35/II	Submachine Guns	9×19 mm, 32 ran	Robustní německý samopal.	DE	1935	Reálná	Kontrola palby	7P	0	SA/BF/FA	2	32(c)	2	4		9R	1600	Automatics	-	Maximální kontrola (RC 2); dražší.
22	EMP 44	Submachine Guns	9×19 mm, 32 ran	Zjednodušený válečný prototyp pro Volkssturm.	DE	1944	Prototyp	Nejlevnější (nouzová)	7P	0	FA	0	32(c)	2	4		10F	700	Automatics	-	Nejlevnější; jen plná palba, bez kontroly.
23	Sten Mk II	Submachine Guns	9×19 mm, 32 ran	Extrémně jednoduchý britský samopal.	UK	1941	Prototyp	Levná + skrytelná	7P	0	FA	0	32(c)	3	4		6R	600	Automatics	-	Levná a štíhlá; jen plná palba.
24	Sterling	Submachine Guns	9×19 mm, 34 ran	Pozdní britská konstrukce; přechod do poválečné éry.	UK	1944	Prototyp	Přesná + kompaktní	6P	0	SA/BF/FA	1	34(c)	3	5		11F	1600	Automatics	-	Přesná a kompaktní, ale slabší náboj (6P); vzácná.
25	Thompson M1928	Submachine Guns	.45 ACP, 20/30 ran	Těžký americký samopal.	US	1928	Reálná	Poškození + buben	8P	-1	SA/BF/FA	1	50(d)	3	4		9R	2000	Automatics	bubnový zásobník	Nejvyšší DMG + buben 50; těžký a drahý.
26	Thompson M1	Submachine Guns	.45 ACP, 20/30 ran	Zjednodušená válečná verze Thompsonu.	US	1942	Prototyp	.45 za rozumnou cenu	8P	-1	BF/FA	0	30(c)	3	4		8R	1500	Automatics	-	8P za nižší cenu; jen dávka/plná palba.
27	M3 „Grease Gun“	Submachine Guns	.45 ACP, 30 ran	Velmi jednoduchý americký samopal.	US	1942	Prototyp	Nejlevnější .45	8P	-1	BF/FA	0	30(c)	3	4		10R	900	Automatics	-	Nejlevnější .45; jen dávka/plná palba.
28	PPSh-41	Submachine Guns	7,62×25 mm, 35/71 ran	Sovětský samopal s vysokou kadencí.	SU	1941	Prototyp	AP + kapacita	6P	-2	SA/BF/FA	1	71(d)	3	4		9R	1500	Automatics	bubnový zásobník	AP -2 + buben 71, ale slabší náboj (6P).
29	PPS-43	Submachine Guns	7,62×25 mm, 35 ran	Kompaktnější sovětský samopal.	SU	1943	Prototyp	AP + skrytelná	6P	-2	SA/BF/FA	1	35(c)	4	4		9R	1300	Automatics	sklopná pažba	AP -2 a nejskrytelnější, ale slabší náboj (6P) a menší zásobník.
30	PPD-40	Submachine Guns	7,62×25 mm, 35/71 ran	Starší sovětská konstrukce.	SU	1940	Prototyp	Přesná AP (kvalita)	6P	-2	SA/BF/FA	1	71(d)	3	5		10R	1700	Automatics	bubnový zásobník	Přesná + AP -2 + buben, ale slabší náboj (6P); drahá.
31	Suomi KP/-31	Submachine Guns	9×19 mm, 20/40/71 ran	Velmi kvalitní finský samopal.	FI	1931	Reálná	Přesnost + kapacita	6P	0	SA/BF/FA	1	71(d)	3	5		9R	2000	Automatics	bubnový zásobník	Velmi přesná + buben, ale slabší náboj (6P); drahá, bez AP.
32	ZK 383	Submachine Guns	9×19 mm, 30 ran	Československý samopal s možností regulace kadence.	CS	1938	Reálná	Kontrola + přesnost	6P	0	SA/BF/FA	2	30(c)	2	5		10R	1800	Automatics	-	RC 2 + přesnost, ale slabší náboj (6P); malý zásobník, drahá.
33	Beretta M38	Submachine Guns	9×19 mm, 10-40 ran	Jeden z nejlepších italských samopalů války.	IT	1938	Reálná	Kvalita + kapacita	6P	0	SA/BF/FA	1	40(c)	2	5		9R	1700	Automatics	-	Kvalitní, vyšší kapacita, ale slabší náboj (6P); bez AP.
34	Owen Gun	Submachine Guns	9×19 mm, 33 ran	Australský samopal s horním zásobníkem.	AU	1939	Prototyp	Spolehlivá + RC 1 levně	7P	0	SA/BF/FA	1	33(c)	3	4		10R	1200	Automatics	-	Spolehlivá s RC 1 za nízkou cenu; průměrná.
35	MP 3008	Submachine Guns	9×19 mm, 32 ran	Německá nouzová konstrukce inspirovaná Stenem.	DE	1945	Prototyp	Nejlevnější štíhlá	7P	0	FA	0	32(c)	3	4		11F	550	Automatics	-	Nejlevnější a štíhlá; jen plná palba.
